ICAO Manufacturer   Type            winglets       WV             MTOMkg         MLMkg          MZFMkg         OEMkg          MPMkg          MZFM-MTOM      OEM_MTOM       MPM_MTOM       Sref_m2        span_m         bf_m           delta2         COSsweep       AR             psi0           XhiDO          wing_constant  j2             j1             CLo            etaL_Do        OPR            BPR            FPR            F00ISAkn       mfmaxTO_kg_s   mfFISLSkg_s    MDO            CTdes          eta1           eta2           Mec            Tec            TETmaxclimb    TETmaxt_o      etaPC          MMO            FLMO           Vcasasl        pimaxPa        pinfcoPa       FFLyear        noengines     
A30B   Airbus         A300B4-200              0           6   165000.0       134000.0       124000.0       88505.00       35495.00      0.7515152      0.5363939      0.2151212       260.0000       44.83000       5.640000      0.3165561E-01  0.8829476       7.729726       8.774194       1.036099      0.7117807      0.8683670      0.7391802E-01  0.5483810       4.318483       26.47000       4.600000       1.650000       466.2000       4.802900      0.4000000      0.7527000      0.3499763E-01  0.3217894      0.5453500      0.6743440       4.932053       1349.698       5.091319      0.8112780      0.8200000       390.0000      0.5244000       20882.79       37618.41       1973.000       2.000000    
A306   Airbus         A300B4-600R             0           0   170500.0       140000.0       130000.0       86220.00       43780.00      0.7624633      0.5056891      0.2567742       260.0000       44.84000       5.640000      0.3164149E-01  0.8829476       7.733175       7.803846       1.014875      0.7214879      0.8714006      0.7616015E-01  0.5194784       5.296827       31.52667       4.933333       1.650000       524.8533       5.078667      0.4240000      0.7527000      0.3065886E-01  0.3642109      0.5377667      0.6832595       5.336388       1485.744       5.604507      0.8474112      0.8200000       410.0000      0.5244000       20882.79       37618.41       1983.000       2.000000    
A310   Airbus         A310-200                0           8   138600.0       122000.0       112000.0       79207.00       32793.00      0.8080808      0.5714791      0.2366017       219.0000       43.89000       5.640000      0.3302608E-01  0.8829476       8.796037       8.375563       1.013898      0.7438096      0.8686599      0.7328707E-01  0.5575490       5.655822       26.37250       5.025000       1.650000       443.5250       4.289500      0.3842000      0.7720000      0.3294079E-01  0.3838380      0.5356812      0.6856490       5.373551       1474.041       5.560363      0.8441770      0.8400000       410.0000      0.5358000       21865.62       37237.40       1982.000       2.000000    
A313   Airbus         A310-300                0           0   150000.0       123000.0       113000.0       77397.00       35603.00      0.7533333      0.5159800      0.2373533       219.0000       43.89000       5.640000      0.3302608E-01  0.8829476       8.796037       8.212623       1.024583      0.7375717      0.8695161      0.7456286E-01  0.5635763       5.602549       28.18400       4.970000       1.650000       480.2580       4.510400      0.3946000      0.7720000      0.3285333E-01  0.3752789      0.5369325      0.6842186       5.364268       1474.041       5.560363      0.8441770      0.8400000       410.0000      0.5358000       21865.62       37237.40       1982.000       2.000000    
A318   Airbus         A318-100                0           5   68000.00       57500.00       53000.00       38818.00       14182.00      0.7794118      0.5708529      0.2085588       122.4000       34.10000       3.950000      0.2683586E-01  0.9063078       9.500082       7.471444      0.9954418      0.7539589      0.8709561      0.7500868E-01  0.5639474       5.333478       25.43333       5.166667       1.650000       199.2533       2.060667      0.2113333      0.7527000      0.3093625E-01  0.3403559      0.5324583      0.6892889       6.031933       1648.953       6.220163      0.8961229      0.8200000       410.0000      0.5244000       20882.79       37618.41       2002.000       2.000000    
A319   Airbus         A319-100                0           6   73500.00       62500.00       58500.00       39725.00       18775.00      0.7959183      0.5404762      0.2554422       122.4000       34.10000       3.950000      0.2683586E-01  0.9063078       9.500082       7.700920      0.9950307      0.7548236      0.8707755      0.7477413E-01  0.5687233       5.098135       25.33833       5.642500       1.650000       212.4783       1.987167      0.2120000      0.7527000      0.3155044E-01  0.3280000      0.5216331      0.7010445       5.849203       1600.148       6.036063      0.8807092      0.8200000       410.0000      0.5244000       20882.79       37618.41       1995.000       2.000000    
A320   Airbus         A320-200                0           0   73500.00       64500.00       60500.00       41244.00       19256.00      0.8231292      0.5611429      0.2619864       122.4000       34.10000       3.950000      0.2683586E-01  0.9063078       9.500082       8.395288       1.006598      0.7495844      0.8689035      0.7319161E-01  0.5903990       5.259100       26.90900       5.634000       1.650000       224.6380       2.146200      0.2239000      0.7527000      0.3465255E-01  0.3580000      0.5218265      0.7008409       5.588930       1528.929       5.767411      0.8595960      0.8200000       410.0000      0.5244000       20882.79       37618.41       1987.000       2.000000    
A321   Airbus         A321-100                0           8   89000.00       75500.00       71500.00       46856.00       24644.00      0.8033708      0.5264719      0.2768989       122.4000       34.15000       3.950000      0.2675733E-01  0.9063078       9.527962       8.631216       1.023748      0.7401713      0.8690232      0.7405919E-01  0.6063385       4.988234       31.16286       5.348571       1.650000       269.3143       2.690572      0.2462857      0.7527000      0.3585930E-01  0.3427809      0.5283200      0.6938685       5.741120       1584.040       5.975300      0.8758062      0.8200000       391.0006      0.5244000       20882.79       37618.41       1993.000       2.000000    
A332   Airbus         A330-200                0          52   233000.0       182000.0       170000.0       116840.0       53160.00      0.7296137      0.5014592      0.2281545       361.6000       60.30000       5.640000      0.1749660E-01  0.8686315       10.05556       6.691784      0.9865394      0.7624750      0.8720471      0.7605027E-01  0.5281415       6.875896       34.20375       5.052500       1.650000       609.4650       5.937250      0.4895000      0.7864750      0.2499242E-01  0.3700000      0.5350556      0.6863606       5.728485       1575.585       5.943405      0.8732646      0.8600000       410.0000      0.5472000       22875.41       36864.53       1992.000       2.000000    
A333   Airbus         A330-300                0          52   233000.0       187000.0       175000.0       120132.0       54868.00      0.7510729      0.5155880      0.2354850       361.6000       60.30000       5.640000      0.1749660E-01  0.8686315       10.05556       6.899510      0.9899852      0.7610205      0.8715522      0.7553266E-01  0.5353526       7.128485       33.67252       5.093750       1.650000       604.4625       5.839875      0.4922500      0.7864750      0.2583176E-01  0.3910459      0.5341172      0.6874234       5.727839       1575.585       5.943405      0.8732646      0.8600000       410.0000      0.5472000       22875.41       36864.53       1992.000       2.000000    
