icao_code,iata_code,latitude,longitude,elevation_ft,airport_name,airport_type,iso_country,iso_region,municipality,scheduled_service
AAXX,xxx,-67.5669411575,-68.1269931793,0.0,Rothera Point Airport,small_airport,AQ,AQ-U-A,Rothera Point,no
AGAF,AFT,-9.19138888889,160.948611111,23.0,Afutara Aerodrome,small_airport,SB,SB-ML,Bila,yes
AGAR,RNA,-9.86054358262,161.979546547,40.0,Ulawa Airport,small_airport,SB,SB-MK,Arona,no
AGAT,ATD,-8.873330000000001,161.011002,0.0,Uru Harbour Airport,small_airport,SB,SB-ML,Atoifi,yes
AGBA,VEV,-7.912779808044434,156.70599365234375,0.0,Barakoma Airport,small_airport,SB,SB-WE,Barakoma,no
AGBT,BPF,-8.56202777778,158.119305556,24.0,Batuna Aerodrome,small_airport,SB,SB-WE,Batuna Mission Station,no
AGEV,GEF,-7.5758299827575675,156.5970001220703,0.0,Geva Airport,small_airport,SB,SB-WE,Liangia,no
AGGA,AKS,-8.70257,160.682007,5.0,Gwaunaru'u Airport,small_airport,SB,SB-ML,Auki,yes
AGGB,BNY,-11.302222222200001,159.798333333,60.0,Bellona/Anua Airport,small_airport,SB,SB-RB,Anua,yes
AGGC,CHY,-6.711944,156.39611100000002,0.0,Choiseul Bay Airport,small_airport,SB,SB-CH,xxx,yes
AGGE,BAS,-6.9907449999999995,155.88665600000002,5.0,Ballalae Airport,small_airport,SB,SB-WE,Ballalae,yes
AGGF,FRE,-8.1075,159.576996,0.0,Fera/Maringe Airport,small_airport,SB,SB-IS,Fera Island,yes
AGGH,HIR,-9.427999999999999,160.054993,28.0,Honiara International Airport,large_airport,SB,SB-GU,Honiara,yes
AGGI,MBU,-9.7475004196167,159.83900451660156,0.0,Babanakira Airport,small_airport,SB,SB-GU,Mbambanakira,yes
AGGJ,AVU,-9.86833333333,160.410555556,25.0,Avu Avu Airport,small_airport,SB,SB-GU,xxx,no
AGGK,IRA,-10.4497003555,161.897994995,54.0,Ngorangora Airport,small_airport,SB,SB-MK,Kirakira,yes
AGGL,SCZ,-10.72029972076416,165.7949981689453,18.0,Santa Cruz/Graciosa Bay/Luova Airport,small_airport,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes
AGGM,MUA,-8.32797,157.263,10.0,Munda Airport,medium_airport,SB,SB-WE,Munda,yes
AGGN,GZO,-8.09778022766,156.863998413,13.0,Nusatupe Airport,small_airport,SB,SB-WE,Gizo,yes
AGGO,MNY,-7.416940212249756,155.56500244140625,0.0,Mono Airport,small_airport,SB,SB-WE,Stirling Island,yes
AGGP,PRS,-9.64167022705078,161.4250030517578,0.0,Parasi Airport,small_airport,SB,SB-ML,Parasi,no
AGGR,RNL,-11.533900260925293,160.06300354003906,0.0,Rennell/Tingoa Airport,small_airport,SB,SB-RB,Rennell Island,yes
AGGS,EGM,-8.578889846801758,157.87600708007812,0.0,Sege Airport,small_airport,SB,SB-WE,Sege,no
AGGT,NNB,-10.847994,162.45410800000002,3.0,Santa Ana Airport,small_airport,SB,SB-MK,Santa Ana Island,yes
AGGU,RUS,-9.86166954041,160.824996948,0.0,Marau Airport,small_airport,SB,SB-GU,Marau,yes
AGGV,VAO,-7.585559844970702,158.7310028076172,0.0,Suavanao Airport,small_airport,SB,SB-IS,Suavanao,yes
AGGY,XYA,-9.092816000000001,159.21841,60.0,Yandina Airport,small_airport,SB,SB-CE,Yandina,yes
AGKG,KGE,-7.3305,157.585,30.0,Kaghau Airport,small_airport,SB,SB-CH,Kagau Island,yes
AGKU,KUE,-8.0262,156.94783,32.0,Kukudu Airport,small_airport,SB,SB-WE,Kolombangara Island,no
AGKW,KWS,-8.360508,160.775127,52.0,Kwailabesi Airport,small_airport,SB,SB-ML,Kwailabesi,no
AGNA,NAZ,-10.6758,162.2049,60.0,Nana Airport,small_airport,SB,SB-MK,Star Harbor,no
AGOK,GTA,-8.738358,158.20283600000002,70.0,Gatokae Aerodrome,small_airport,SB,SB-WE,Gatokae,yes
AGRC,RIN,-8.12639045715332,157.14300537109375,0.0,Ringi Cove Airport,small_airport,SB,SB-WE,Ringi Cove,no
AGRM,RBV,-8.168060302734375,157.64300537109375,0.0,Ramata Airport,small_airport,SB,SB-WE,Ramata,yes
AGTI,TLG,-9.107999999999999,160.149166667,3.0,Tulaghi Heliport,heliport,SB,SB-CE,Tulaghi Island,no
AGVH,VIU,-8.5085,157.69,130.0,Viru Harbour Airstrip,small_airport,SB,SB-WE,Viru,no
ANYN,INU,-0.547458,166.919006,22.0,Nauru International Airport,medium_airport,NR,NR-14,Yaren District,yes
AQBC,xxx,-74.739373,164.03538999999998,672.0,Boulder Clay Runway,medium_airport,AQ,AQ-U-A,Zucchelli Station,no
ATUA,xxx,-3.386,141.5868,707.0,Utai Airstrip,small_airport,PG,PG-SAN,Utai,no
AYAA,AMF,-4.10111111111,141.67,145.0,Ama Airport,small_airport,PG,PG-ESW,xxx,no
AYAB,xxx,-5.72027777778,144.92111111100002,6568.0,Ambaluwa Airstrip,small_airport,PG,PG-EHG,Ambulua,no
AYAC,xxx,-3.94,141.83277777799998,160.0,Akwom Airstrip,small_airport,PG,PG-SAN,xxx,no
AYAD,xxx,-7.020833333330001,145.822222222,5400.0,Ande Airstrip,small_airport,PG,PG-EHG,Sindeni,no
AYAE,UAE,-6.234166666669999,144.664722222,4250.0,Mount Aue Airport,small_airport,PG,PG-JI,xxx,no
AYAF,AFR,-9.142222222220001,148.390833333,2500.0,Afore Airstrip,small_airport,PG,PG-NPP,xxx,no
AYAG,AUP,-9.930833,149.38566699999998,3200.0,Agaun Airport,small_airport,PG,PG-MBA,xxx,no
AYAH,xxx,-7.916666666669999,142.339166667,80.0,Ali Airstrip,small_airport,PG,PG-WPD,Ali,no
AYAI,ATP,-3.14361111111,142.346805556,10.0,Aitape Airport,small_airport,PG,PG-SAN,Aitape,yes
AYAJ,xxx,-5.96222222222,143.063888889,6600.0,Ambua Airstrip,small_airport,PG,PG-HE,Ambua Lodge - Tari,no
AYAK,AIH,-7.3427777777799985,141.2675,90.0,Aiambak Airport,small_airport,PG,PG-WPD,Aiambak,no
AYAL,xxx,-5.344377463640001,142.214241028,2750.0,Agali Airstrip,small_airport,PG,PG-SAN,xxx,no
AYAM,AMU,-3.5860000000000003,141.21433333299998,1307.0,Amanab Airport,small_airport,PG,PG-SAN,Amanab,no
AYAN,ADC,-7.13722222222,145.744722222,3600.0,Andakombe Airport,small_airport,PG,PG-EHG,Andekombe,no
AYAO,AIE,-5.145699978000001,144.7307003,350.0,Aiome Airport,small_airport,PG,PG-MPM,Aiome,no
AYAP,xxx,-6.5167589999999995,144.706808,3800.0,Appa Airstrip,small_airport,PG,PG-EHG,xxx,no
AYAQ,KPM,-5.381666666669999,143.924722222,5100.0,Kompiam Airport,small_airport,PG,PG-EPW,xxx,no
AYAR,xxx,-4.6,143.843472222,70.0,Anangalo Airstrip,small_airport,PG,PG-ESW,xxx,no
AYAS,xxx,-8.023333333330001,147.271666667,1800.0,Asama Airstrip,small_airport,PG,PG-NPP,xxx,no
AYAT,AUJ,-4.21566666667,142.823166667,50.0,Ambunti Airport,small_airport,PG,PG-ESW,Ambunti,no
AYAU,xxx,-5.4951,142.5137,4830.0,Arou Airstrip,small_airport,PG,PG-HE,Arou,no
AYAV,xxx,-3.7771769999999996,142.622672,622.0,Arkosame Airstrip,small_airport,PG,PG-SAN,xxx,no
AYAW,AWB,-8.00611019135,142.748352051,32.0,Awaba Airport,small_airport,PG,PG-WPD,Awaba,yes
AYAX,AEK,-7.350804855519999,146.19386673,4106.0,Aseki Airport,small_airport,PG,PG-MPL,Aseki,no
AYAY,AYU,-6.3380555555599996,145.904166667,5355.0,Aiyura Airport,small_airport,PG,PG-EHG,Aiyura Valley,no
AYAZ,xxx,-8.605,147.591944444,1170.0,Asimba Airstrip,small_airport,PG,PG-NPP,Asimba,no
AYBA,VMU,-7.49686002731,144.819900513,27.0,Baimuru Airport,medium_airport,PG,PG-GPK,Baimuru,yes
AYBB,xxx,-5.2685,142.097,5440.0,Bak Airstrip,small_airport,PG,PG-SAN,Bak,no
AYBC,BCP,-5.863611111110001,146.4925,6790.0,Bambu Airport,small_airport,PG,PG-MPM,Bambu,no
AYBD,BNM,-9.107777777779999,147.666722222,3700.0,Bodinumu Airport,small_airport,PG,PG-CPM,Bodinumu,no
